first_name,last_name,stand_name,organization,department,TPM_role,TPM_category,TPM_inq_com,TPM_project,year_joined,TPM_bio,ORCID_ID,Scopus_ID
Thegn,Ladefoged,"Ladefoged, T",University of Auckland,Anthropology,Principal Investigator,Principal Investigator,NA,Dry Valleys; Maori Horticulture,2015,"Thegn Ladefoged is a Professor of Archaeology in at the University of Auckland. Thegn’s research examines socio-political transformations and the political economy of agricultural surplus production in Rapa Nui, Hawai‘i, and Aotearoa New Zealand. He is co-Principal Investigator (with Matiu Prebble and Simon Holdaway) on a Marsden-funded interdisciplinary project investigating Maori early mahinga kai on the small offshore islands of Raoul, Moturua, Ahuahu, Kapiti, Ruapuke, and Enderby. Thegn is also leading a Te P?naha Matatini project focusing on kaitiakitanga and the ecodynamics of early Maori horticulture on Ahuahu.",0000-0002-6950-9898,6602231449
Julia,Lane,"Lane, J",New York University,School of Public Service,International Advisory Board,International Advisory Board,NA,,2015,"Julia Lane is a Professor at the NYU Wagner Graduate School of Public Service. She was a senior advisor in the Office of the Federal CIO at the White House, supporting the implementation of the Federal Data Strategy. She recently served on the Advisory Committee on Data for Evidence Building and the National AI Research Resources Task Force. Julia is an elected fellow of the American Association for the Advancement of Science, the International Statistical Institute and the American Statistical Association. She is the recipient of the 2014 Julius Shiskin award and the 2014 Roger Herriot award. She is also the recipient of the 2017 Warren E. Miller Award and the 2019 Distinguished Fellow award from the New Zealand Association of Economists. She holds a PhD in Economics and an MA in Statistics.",0000-0002-8139-2960,7401532406
Wendy,Lawson,"Lawson, W",Auckland University of Technology,Deputy Vice-Chancellor,Advisory Board,Advisory Board,NA,,2015,"Professor Wendy Lawson is Deputy Vice-Chancellor Academic at AUT and a glaciologist with a passion for fieldwork. She has more than 30 years of experience of remote fieldwork in polar and alpine environments, including in Greenland, Svalbard, Alaska and Arctic Norway – as well as Antarctica. Wendy’s previous roles include Pro-Vice-Chancellor for Science, Dean of Science and Head of Department of Geography at the University of Canterbury, and as an academic at the University of Auckland. She has a range of academic and Crown sector strategic sector governance experience, including Ministerial appointments as a Board Director of NIWA and of Antarctica New Zealand. Wendy’s PhD is from the University of Cambridge and her most recent qualification awarded in 2008 is a Postgraduate Certificate in Public Administration from the University of Warwick Business School. One of her career highlights of which she is most proud is the naming of a stream in Antarctica – Lawson Creek – in her honour in 1995.",0000-0002-3626-2489,7202333383
Libby,Liggins,"Liggins, L",University of Auckland,School of Biological Sciences,Principal Investigator,Principal Investigator,NA,,2023,"Libby Liggins is a Rutherford Discovery Fellow based at Waipapa Taumata Rau (the University of Auckland) and a Research Associate of the Auckland Museum Tamaki Paenga Hira. Libby is interested in the generation and changing nature of biogeographic, ecological and demographic patterns in the ocean, particularly in relation to climate change. She specialises in using genetic and genomic data, in combination with ecological data and modelling approaches. Libby collaborates in several international research consortia and scientific committees including the World Data System and the Group on Earth Observations Biodiversity Observing Network, advocating for open data, knowledge transfer, and appropriate data stewardship.",0000-0003-1143-2346,24474607700
Steffen,Lippert,"Lippert, S",University of Auckland,School of Business,Principal Investigator,Principal Investigator,NA,,2016,"Steffen is a Senior Lecturer in Economics at the University of Auckland’s Business School and a Co-Founder of the Research Network for Applied and Theoretical Economics. He has also lectured in Economics at the University of Otago and Massey University. Steffen completed a PhD at the Toulouse School of Economics and Mannheim University, and a postdoctoral fellowship at the Research Institute of Industrial Economics in Stockholm. His current research interests include the economics of innovation, industrial economics, and the economics of social interaction and networks.",0000-0002-4045-1266,16233735500
Kirsten,Locke,"Locke, K",University of Auckland,School of Critical Studies in Education,Principal Investigator,Principal Investigator,NA,Kindness in Science,2019,"Kirsten Locke is Associate Professor in the School of Critical Studies in Education at the University of Auckland. As a philosopher of education, Kirsten is particularly interested in the philosophical theories that underpin mass education systems and the ways these shape issues of gender equity and democracy in education more broadly. Her recent research has focused on women in academia and the ways in which women navigate the university landscape. Kirsten sits on the Executive Board of the innovative publishing platform for the Association of Visual Pedagogies, is Editor for the New Zealand Journal of Women’s Studies alongside three other feminist scholars, and has a long association as Associate Editor for the journal Educational Philosophy and Theory. She is also the Secretary and Awards Convenor for the New Zealand Association of Research in Education (NZARE) and was awarded the Early Career Research Excellence Award for the University of Auckland in 2016.",0000-0002-2089-2793,55877647600
Markus,Luczak-Roesch,"Luczak-Roesch, M",Victoria University of Wellington,School of Information Management,Co-Director,Executive Team; Strategic Leadership Group,NA,Trajectory of te reo Maori; Kindness in Science,2019,"Markus is a Professor of Information Systems at Te Herenga Waka – Victoria University of Wellington. He is the founder of the Complexity and Connection Science Lab, where an interdisciplinary team of postgraduate students and researchers is working on theories and methods to understand the structures and dynamics of complex systems, and novel computational tools that aim to securely and meaningfully augment human intelligence. As a computer scientist by education his personal focus is on mathematical models and computational tools that allow for capturing temporal dynamics in complex systems as diverse as the earth system, human language, brain activities, and digital traces online, in order to ultimately understand emergence and meaningful coincidences.",0000-0003-4610-7244,35092788500
Cate,Macinnis-Ng,"Macinnis-Ng, C",University of Auckland,School of Biological Sciences,Principal Investigator,Principal Investigator,NA,,2016,"Cate, Professor in Ecology at the University of Auckland’s School of Biological Sciences, is an enthusiastic ‘tree ecophysiologist’. Her current research focuses on plant responses to climatic conditions – in particular, the impact of drought on New Zealand’s native forests. Before moving to Auckland in 2010, Cate was based in Sydney, Australia, where she completed her undergraduate degree and PhD, and undertook postdoctoral research. Since then, she has received a host of awards – a Marsden Fast-Start grant in 2012 and a Rutherford Discovery Fellowship in 2015. Cate is also Past President of the New Zealand Ecological Society (2017 to 2019).",0000-0003-3935-9814,6603293321
Catriona,MacLeod,"MacLeod, C",Manaaki Whenua - Landcare Research,Conservation Ecology,Principal Investigator,Principal Investigator,NA,,2023,"Catriona MacLeod is a Senior Researcher at Manaaki Whenua – Landcare Research. Her research focuses on conservation ecology, drawing on functional ecology to deliver strong fundamental advances as well as applied solutions to better inform environmental policy and management decisions. Catriona proactively seeks a collective action approach, incorporating te ao Maori, to resolve complex socio-environmental challenges for the benefit of all New Zealanders and Aotearoa’s environment. This often requires working at the interface of multiple disciplines, but also draws on her strong quantitative skills and expertise in environmental monitoring and reporting, which she has developed working across a range of biomes.",0000-0002-8435-410X,8688520200
Alex ,Macmillan,"Macmillan, A",University of Otago,Department of Preventive and Social Medicine,Principal Investigator,Principal Investigator,NA,,2023,"Alex is a tangata Tiriti public health physician and Professor in Environmental Health at Te Whare Wananga o ?takou. Her expertise is at the intersection of environmental sustainability and health equity, particularly how we respond to climate change in ways that bring co-benefits for health equity. She uses a combination of action research, community epidemiology, participatory systems mapping and modelling, and policy analysis to improve decision-making and build commitment for healthy, te Tiriti-based climate action. She is the research lead for Te Ara Mua Future Streets, a complex community intervention study of street changes for place-making, walking and wheeling in Nga Hau Mangere; and the co-Director of Climate Health Aotearoa, an emerging national research centre founded on recommendations from the report of Matike Mai Aotearoa.",0000-0001-8070-3280,7005704384
Keoni,Mahelona,"Mahelona, K",Te Hiku Media,Chief Technology Officer,Advisory Board,Advisory Board,NA,,2023,"Keoni Mahelona (Kanaka Maoli) is the Chief Technology Officer at Te Hiku Media and a leading practitioner of Indigenous data sovereignty. Originally from Anahola on the island of Kaua?i, Hawai?i, Keoni has been living and working in Te Hiku o Te Ika for over 10 years having first arrived in Aotearoa as a Fulbright Scholar. As a driving force behind the development of digital innovation projects that seek to secure the future of te reo Maori and other Indigenous languages, Keoni makes decisions every day to protect the sovereignty of Maori data, from the digital tools employed to advance projects, the storage of data and sharing data in appropriate and secure ways.",0000-0002-3821-8377,36657432300
Stephen ,Marsland,"Marsland, S",Victoria University of Wellington,School of Mathematics and Statistics,Principal Investigator,Principal Investigator,NA,Game Theory,2015,"Stephen is Professor of Mathematics at Victoria University of Wellington. He was previously Professor of Scientific Computing at Massey University and has PhD from Manchester University and a degree from Oxford University. His research interests are in the applications of mathematics, especially differential geometry, to a wide variety of problems such as birdsong recognition, shape and medical image analysis, machine learning, and smart homes for the elderly. He also works in complexity science, including complex networks and agent-based models.",0000-0002-9568-848X,7004258982
Anna,Matheson,"Matheson, A",Victoria University of Wellington,School of Health,Principal Investigator,Principal Investigator,NA,System Change; Kindness in Science,2018,"Anna Matheson is Associate Professor in Public Health and Policy in the School of Health at Te Herenga Waka Victoria University of Wellington. She has a background in public health with a focus on action to address health inequities and the social determinants of health. This work draws on her keen interest in complexity theory and its application to social systems and the empirical evidence on health. For the last seven years Anna has led the evaluation of Healthy Families NZ – a policy-initiated but community-led initiative aimed at strengthening the prevention system in ten place-based communities to improve health and well-being. Currently, she also teaches health policy and systems on the Bachelor of Health programme at Te Herenga Waka, and for eight years previously she convened the Master of Public Health at Massey University.",0000-0002-3916-2053,7005851367
Adrian,McDonald,"McDonald, A",University of Canterbury,School of Physcial and Chemical Sciences,Principal Investigator,Principal Investigator,NA,,2018,"Professor Adrian McDonald is a climate scientist is a climate scientist who primarily works on understanding atmospheric process in Antarctica and the Southern Ocean. Adrian is an award-winning science communicator, with expertise in extreme weather events in a changing world. He is also an experienced field researcher who has participated in numerous Antarctic deployments and Southern Ocean voyages. Adrian holds various Antarctic research leadership roles – among them, he heads up the ‘Processes and Observations’ programme in the Deep South National Science Challenge and is the Director of Gateway Antarctica.",0000-0002-1456-6254,56250119900
Zac,McIvor,"McIvor, Z",University of Otago,Archaeology,Principal Investigator,Principal Investigator,NA,Maori Horticulture,2023,Zac McIvor is a lecturer in Archaeology at the University of Otago. His research focuses on the interface between Matauranga Maori and archaeology to develop new understandings about hap?-Maori pasts. He uses cultural mapping and landscape archaeological techniques alongside chronological network analyses of whakapapa and radiocarbon dates to achieve this. Zac is also interested in research into hap? cultural heritage management priorities and how archaeological practice under hap? tikanga may enhance community wellbeing in the face of climate change induced losses to heritage. Zac affiliates with Ngati Patu P? of Waikato and engages kaumatua and kaitiaki in several tribal heritage management projects in Waikato.,0000-0002-9115-1503,56971215000
Jeanette,McLeod,"McLeod, J",University of Canterbury,School of Mathematics and Statistics,Principal Investigator,Principal Investigator,NA,Maths Craft,2015,"Jeanette McLeod is a Senior Lecturer in the School of Mathematics and Statistics at the University of Canterbury, and a Fellow of the New Zealand Mathematical Society. She is a pure mathematician and her main research interests are in combinatorics, in the area of graph theory. Jeanette is Co-founder and Director of the hugely popular, highly successful non-profit initiative Maths Craft New Zealand, which aims to “bring maths to the masses by celebrating the links between mathematics and craft”.",0000-0003-1729-5100,14120027100
Jillian,Menezes,"Menezes, J",,,Research Operations Coordinator,Executive Team,NA,,2022,"Jillian coordinates the daily operational requirements for Te P?naha Matatini. She previously worked in the travel industry in India and Aotearoa New Zealand, as well as holding various administrative roles across the University of Auckland. While living in India, she graduated with a Master of Arts from the University of Bombay (now Mumbai).",NA,NA
Michael,Miller,"Miller, M",Victoria University of Wellington,School of Information Management,Vice-Chair,Te Tira Maurikura,NA,Trajectory of te reo Maori,2023,"Michael is a PhD student at Te Herenga Waka – Victoria University of Wellington. He gained his MSc at Victoria University of Wellington, which focussed on using gravitational microlensing to find planets around other stars. After completing his MSc, he worked for several years in education, teaching physics and mathematics at secondary school and polytechnic levels. He started his PhD research in early 2023 and this research focusses on mathematically modelling Maori language revitalisation.",NA,NA
Fraser,Morgan,"Morgan, F",Manaaki Whenua - Landcare Research,Landscape Policy and Governance,Principal Investigator,Principal Investigator,NA,Dry Valleys,2018,"Fraser is the Science Team Leader of the Landscape Policy and Governance team at Manaaki Whenua Landcare Research. Fraser completed a PhD in Geography at the University of Auckland in 2011. His main research interests are focused on people and policy within geospatial models. Focal areas cover Antarctica, terrestrial bioregions, environmental impact assessments, and land use and land cover change models. Currently, Fraser co-leads an MBIE research programme investigating rural land managers’ confidence and agency to take early action to address complex environmental issues in increasingly uncertain environmental and societal settings. Fraser also continues to investigate the ecological and environmental pressures on the Ross Sea region of Antarctica through the Antarctic Science Platform. His strong interest in science to policy advice led him to work on the Antarctic Environments Portal, a platform for science to policy advice to the Antarctic Consultative Treaty Meetings, in association with Antarctica New Zealand.",0000-0002-7964-3361,55114316000
Kathryn,Morgan,"Morgan, K",,,Research Operations Manager,Executive Team; Strategic Leadership Group,NA,,2019,"Kathryn manages Te P?naha Matatini’s day-to-day research operations requirements. After graduating with a Master of Science in Physical Geography from the University of Auckland, Kathryn worked initially as a researcher at several organisations, and also spent 12 years in a variety of roles at the Auckland Museum. Later, she trained in secondary education and for a number of years was a high school teacher.",NA,57656403700
Anjuli,Muller,"Muller, A",Massey University,College of Creative Arts,Chair,Te Tira Maurikura,NA,Co-production,2022,"Anjuli is currently a PhD student at the College of Creative Arts, Te Kunenga ki P?rehuroa Massey University of New Zealand. Her PhD is exploring co-production and participatory public engagement through a case study of women’s health in Aotearoa New Zealand. Anjuli joined Te P?naha Matatini from the not-for-profit sector, where she previously managed the charity Good Bitches Baking. She completed her BA(Hons) in Psychology in 2019, with her research focusing on people’s experiences of social connectedness through volunteering.",0000-0001-5481-5182,NA
Marama,Muru-Lanning,"Muru-Lanning, M",University of Auckland,Maori Research Centre,Principal Investigator,Principal Investigator,NA,Modelling Healthcare Delivery,2019,"Marama Muru-Lanning is an Associate Professor and Director of the James Henare Maori Research Centre at the University of Auckland. Her research is primarily concerned with debates and critical challenges in social anthropology where she focuses on the cultural specificity of iwi-Maori and their unique sense of place and belonging in New Zealand. Marama’s current research focuses on the commodification and privatisation of water and other natural resources. She also leads a number of kaumatua and interdisciplinary research projects. Her book T?puna Awa: People and Politics of the Waikato River, was published by Auckland University Press in 2016. Marama is from T?rangawaewae Marae and is of Waikato Tainui and Ngati Maniapoto descent. ",0000-0002-8755-0966,40762034000
Sereana,Naepi,"Naepi, S",University of Auckland,Faculty of Arts,Principal Investigator,Principal Investigator,Culture of Research Excellence,Kindness in Science,2023,"Dr Sereana Naepi’s work uses multiple approaches to explore how universities and wider research sectors can become places that embrace all learners, esteem all knowledges and serve all communities. She draws on qualitative and quantitative methods in order to challenge the very basis of how we construct knowledge and how this shapes universities and our research sectors. Her research branches out into multiple disciplines in order to maximise impact across the academy and sector. As a Rutherford Discovery Fellow, Sereana is currently exploring the neoliberal university and its contribution to inequity.",0000-0002-6067-9014,57204946580
Nirmal,Nair,"Nair, N",University of Auckland,School of Electrical and Computer Engineering,Principal Investigator,Principal Investigator,NA,,2018,"Nirmal Nair is an Associate Professor in Electrical and Computer Engineering Department and directs the Power Systems Group at the University of Auckland. Nirmal’s research interests include integration of Distributed/Renewable electricity resources to energy infrastructure with emphasis on blackouts, protection, restoration resilience, economics and Innovation (Smart Grid, PV, Storage, EV integration). He is exploring big-data analysis, power law distribution and graph theoretic work around blackout prevention through Te P?naha Matatini.",0000-0002-8456-3999,7102069328
Tava ,Olsen,"Olsen, T",Melbourne Business School,Operations and Supply Chain Management,Kairangi,Kairangi,NA,,2015,"Tava Olsen is a Professor of Operations and Supply Chain Management and the Deputy Dean, Academic at Melbourne Business School. Tava’s research interests include supply-chain management, pricing and inventory control, and stochastic modelling of manufacturing, service, and healthcare systems. Tava is a past president of the Manufacturing and Service Operations (MSOM) society and has twice been awarded the Auckland Business School’s sustained research excellence award.",0000-0002-5477-6280,7201975424
Dion ,O'Neale,"O'Neale, D",University of Auckland,School of Physics,Investigator Representative,Strategic Leadership Group,NA,System Change; Spreading Processes,2015,"Dion O’Neale is Analytics Lead at Nicholson Consulting and a complex systems and networks science researcher in the Department of Physics at the University of Auckland. After completing a conjoint BA/BSc and BSc (Hons) at Auckland, he obtained a MSc from Heinrich Heine Universität Düsseldorf, and a PhD from Massey. Dion previously worked as a postdoctoral researcher at La Trobe University in Melbourne, then with the Applied Mathematics team at Industrial Research Limited (now Callaghan Innovation) in Wellington. Dion currently lends his expertise to some notable projects – in particular one that traces obsidian movements in pre-European New Zealand and another studying the impact of humans visiting Antarctica.",0000-0002-3827-3480,14025613000
Michael,O'Sullivan,"O'Sullivan, M",University of Auckland,Faculty of Engineering,Deputy Director,Executive Team; Strategic Leadership Group,NA,Modelling Healthcare Delivery,2015,"Michael is an Associate Professor in Engineering Science at the University of Auckland who specialises in Operations Research (OR). After completing a degree in Mathematics and Computer Science and a Masters in OR at the University of Auckland, Michael spent time at Stanford University in the US where he obtained a MS in Engineering-Economic Systems and OR, and a PhD in Management Science and Engineering. Michael created the research group Operations Research Union Analytics (ORUA) which combines OR and analytics to develop intelligent systems.",0000-0002-5621-4206,57208119832
Crissie,Painting,"Painting, C",University of Waikato,School of Science,Principal Investigator,Principal Investigator,Engagement,Game Theory,2019,"Chrissie Painting is a senior lecturer in animal behaviour at the University of Waikato. Chrissie has a BSc (Hons) from Lincoln University, a PhD in biological sciences from the University of Auckland, and has held postdoctoral positions in Aotearoa New Zealand, Australia and Singapore. She is inspired by the incredible amount of phenotypic diversity seen in animals, which has led to her researching the mating systems and behavioural ecology of insects and arachnids around the globe. Chrissie previously held a Rutherford Postdoctoral Fellowship, which adopted an integrative approach to understand the evolution of animal weapons and complex mating behaviours. More recently, with support from the Marsden Fund, she is exploring a complex systems approach to understanding the evolution of animal mating systems in fishing spiders.",0000-0003-0701-2648,56030897200
Matt,Parry,"Parry, M",University of Otago,Department of Mathematics and Statistics ,Complexity Community of Inquiry Lead,Strategic Leadership Group,Complexity,,2019,"Matt Parry’s main areas of research are the development and use of scoring rules for evaluating probabilistic forecasts, the application of statistical and mathematical models to the spread of disease, statistical analysis for genome-wide methylation studies, and, more recently, statistical aspects of gravitational wave analysis. Matt’s PhD was in theoretical cosmology at Brown University and he is now an Associate Professor in the Department of Mathematics and Statistics at the University of Otago.",0000-0002-6588-0219,8361414000
Unai,Pascual,"Pascual, U",Basque Center for Climate Change,Ecological Ecomonics,International Advisory Board,International Advisory Board,NA,,2024,"Unai Pascual is Ikerbasque Research Professor in ecological economics at the Basque Centre for Climate Change (BC3). Previously he held a senior lectureship positions at the University of Cambridge (2002-2013) and at Manchester University (2000-2002). His works focuses on the social-ecological interactions between biodiversity, climate change, and human wellbeing. He has had an active role in the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES), and is a member of various scientific steering committees, including the Global Land Programme. He serves in various editorial boards, including Global Environmental Change, and One Earth. He has an active role in many communication outlets (newspapers, radio and TV) in the Basque Country.",0000-0002-5696-236X, 8318429700
Rebecca ,Phillipps,"Phillipps, R",University of Auckland,Anthropology,Principal Investigator,Principal Investigator,NA,Maori Horticulture,2021,"Rebecca Phillipps (Ngai Tahu) is a Senior Lecturer in Anthropology at the University of Auckland. Rebecca’s research interests include material culture analysis, archaeological theory, landscape archaeology, and digital solutions in archaeology. She is particularly interested in promoting new approaches to Maori material culture analysis in New Zealand and understanding human environment interrelationships in Egypt in responses to Holocene climate change. She has worked extensively in Egypt, particularly in the Fayum region and on the Ahuahu Great Mercury Island Archaeological Project. Rebecca is assistant editor of the Journal of Pacific Archaeology.",0000-0003-1192-5618,36089317600
Andy,Philpott,"Philpott, A",University of Auckland,School of Engineering Science,Kairangi,Kairangi,NA,,2015,,0000-0002-7094-3405,7004057353
Lisa,Pilkington,"Pilkington, L",University of Auckland,School of Chemical Sciences,Principal Investigator,Principal Investigator,NA,,2023,"Lisa Pilkington is a Senior Lecturer at Waipapa Taumata Rau the University of Auckland. Lisa is a chemometrician and chemical data scientist. She develops methods to obtain data on a range of different chemical phenomena and then uses statistical methodologies to analyse the data and understand the chemical system being studied. Lisa applies these practices to a range of different areas, spanning agricultural, biological and medicinal/forensic applications. Lisa has been awarded a range of fellowships including a Lottery Health Fellowship, Rutherford Post-Doctoral Fellowship, Breast Cancer New Zealand Ronald Kay Fellowship and Gavin and Anne Kellaway Fellowship.",0000-0002-9292-3261,55441246800
Matt,Pinkerton,"Pinkerton, M",NIWA,Structure and Function of Marine Foodwebs,Principal Investigator,Principal Investigator,NA,,2023,"Matt Pinkerton is a Principal Scientist at NIWA in Wellington, specialising in satellite remote sensing of the ocean and ecosystem modelling. Matt’s research seeks to understand how marine food-webs are structured and the relationship between structure and dynamics. He leads the NIWA “Structure and Function of Marine Food-webs Programme” and has led three FRST/MBIE programmes. Matt is pelagic ecosystem objective leader in the Antarctic Science Platform and has worked on many projects for DOC, Fisheries New Zealand, MfE, NGOs and commercial organisations. He has also represented New Zealand at CCAMLR meetings and Southern Ocean bioregionalisation workshops and collaborated widely internationally.
",0000-0001-7948-720X,7003793212
Mike,Plank,"Plank, M",University of Canterbury,School of Mathematics and Statistics,Principal Investigator,Principal Investigator,NA,Trajectory of te reo Maori; River Climate Change; Maori Horticulture,2015,"Mike Plank’s research interests are in mathematical biology and mathematical epidemiology. His work aims to use mathematical techniques and modelling to help answer research questions in application areas and to support policymaking. His research is interdisciplinary and he has worked in a range of application areas including ecological and social networks, population dynamics, infectious diseases, marine ecosystems and fisheries, collective cell behaviour, and intracellular dynamics. ",0000-0002-7539-3465,6603773075
Claire,Postlethwaite,"Postlethwaite, C",University of Auckland,School of Mathematics and Statistics ,Principal Investigator,Principal Investigator,NA,Spreading Processes; Artificial Intelligence; Dry Valleys,2018,"Claire is a Professor in Applied Mathematics at the University of Auckland. Prior to arriving in New Zealand, she completed her PhD at the University of Cambridge and spent two years working as a postdoctoral researcher in the US. While Claire’s background is in the field of applied dynamical systems, she has a broad range of research interests – from theoretical studies of differential equations to applying mathematics to understand navigation, movement and behaviour. Claire has won several awards for her work.",0000-0003-0654-6736,8590273100
Matiu,Prebble,"Prebble, M",University of Canterbury,School of Earth and Environment,Principal Investigator,Principal Investigator,NA,Maori Horticulture,2021,"Matiu (Matthew) is affiliated with Te R?naka o Wairewa (Kati Irakehu, Ngai Tahu Whanui) on Horomaka/Banks Peninsula and is a Research Fellow at the University of Canterbury. He is interested in understanding the adaptations of Maori/Pasifika societies in the past and present to the often hostile environments of Te Moana Nui a Kiwa/Pacific Ocean, and has been fortunate enough to work on most archipelagos in the region, from Papua New Guinea to Rapa Nui. Matiu is currently a principal investigator on a new P?tea Marsden project examining horticultural adaptation on the offshore islands of Aotearoa, and is an associate investigator on another Marsden project examining past agricultural adaptation on Samoa (Upolu).",0000-0001-8577-7190,36752990300
Rebecca ,Priestly,"Priestly, R",Victoria University of Wellington,School of Science in Society,Principal Investigator,Principal Investigator,NA,The Media; Dry Valleys,2015,"Professor Rebecca Priestley, from the Centre for Science in Society at Te Herenga Waka – Victoria University of Wellington, is an academic, science historian and writer with degrees in earth sciences, the history and philosophy of science, and creative writing. Her recent academic and creative work has a focus on climate change, sea level rise, Antarctica and COVID-19 communications. Rebecca co-leads the Science, Statistics and the Media project with Richard Arnold and contributes to Human activity in the McMurdo Dry Valleys: Rescue, knowledge, and understanding our role as a vector of change. Rebecca was recipient of the Prime Minister’s Science Communication Prize 2016, and a member of the Melting Ice, Rising Seas team who won the Prime Minister’s Science Prize 2019. Her most recent book is End Times (VUP, 2023).",0000-0001-6390-5059,14051120200
Mubashir,Qasim,"Qasim, M",DairyNZ,Economic and Public Policy,Principal Investigator,Principal Investigator,NA,Science-policy Interface; Knowledge Sharing,2017,"Dr Mubashir Qasim is an economist and data scientist who works at DairyNZ. His research interests include a broad range of topics around the economics of disruptive technologies, closed loop economies, comprehensive system of national accounts, and inter-temporal sustainability and well-being. He has won several scholarships including Marsden funding from the Royal Society of New Zealand during his academic and professional journey. He also co-founded an IoT and big data analytics start-up called Qubits Technologies Limited.",0000-0001-9250-1520,57191504787
Sujatha,Raman,"Raman, S",Australian National University,Centre for Public Awareness of Science,International Advisory Board,International Advisory Board,NA,,2024,"Sujatha Raman is Professor and Director of Research at the Centre for Public Awareness of Science (CPAS) at Australian National University (ANU). She leads the UNESCO Chair in Science Communication for the Public Good. Trained in social, cultural and policy studies of science and technology (STS), Raman is interested in researching and fostering the forms of expertise needed to respond to planetary crises in the context of diversity in how we know, value and order things. She has led and contributed to multiple transdisciplinary collaborations in the global North and South on science/society relations and science/policy issues including environmental and energy transitions, emerging technologies, responsible innovation and antimicrobial stewardship.",0000-0002-9037-5716,12042606600
Aisling,Rayne,"Rayne, A",Crawthorn Institute,Social Science,Principal Investigator,Principal Investigator,NA,Kindness in Science,2021,"Aisling Rayne is an interdisciplinary researcher engaged in work that spans complex social and ecological systems – from food to freshwater – and our relationships with(in) them. She is based in the Social Science team at Cawthron Institute, in sunny Whakat? (Nelson), where she works across a number of projects, including Te P?naha Matatini’s Kindness in Science project, ‘Freshwater for our Taonga’ and ‘Revaluating Impact’ with New Zealand’s Biological Heritage National Science Challenge, and the Fish Futures research programme. It brings Aisling great joy to work in such smart and kind teams, all of whom are addressing critical issues relating to science, society, and the environment.",0000-0002-9234-4825,57214152104
Lynn,Riggs,"Riggs, L",Motu,Economic and Public Policy,Principal Investigator,Principal Investigator,NA,System Change,2019,"Lynn Riggs is a Research Fellow at Motu Economic and Public Policy Research. Prior to taking on this role in July 2018, Lynn had worked for the US government for 20 years. She most recently worked for the US Commodity Futures Trading Commission, the primary regulator of swaps and futures markets. Prior to that, she worked at the US Bureau of the Census and the US Centers for Disease Control and Prevention. Lynn also taught health economics and microeconomics as an adjunct professor at DePaul University in Chicago. She has worked extensively with large, confidential data sets in the US, including the US Longitudinal Business Database (LBD) and other firm-level data. Lynn’s research interests are in labour, health, education, and financial economics. She received her PhD from the University of Wisconsin-Milwaukee.",0000-0002-5622-2900,57225742769; 58419232800
Zainab,Rizvi,"Rizvi, Z",University of Auckland,School of Engineering Science,Secretary,Te Tira Maurikura,NA,,2023,"Zainab Rizvi is a PhD student in Engineering Science at the University of Auckland. She is working on Energy Systems’ digital transformation. Her interests lie in Information Systems, just digital transformation and energy systems. She is also a PMI certified Agile Project Manager. ",0000-0001-7678-2182,NA
Tom,Roa,"Roa, T",University of Waikato,Faculty of Maori and Indigenous Studies,Kaumatua,Kaumatua; Strategic Leadership Group,NA,Maori Horticulture,2019,"Professor Tom Roa (Ngati Maniapoto, Waikato) is a Tainui leader and Te Ahorangi Professor in Te Pua Wananga ki te Ao the Faculty of Maori and Indigenous Studies, at Te Whare Wananga o Waikato the University of Waikato. Tom is a familiar figure on marae throughout Tainui and the country. His PhD examined questions about the theory and practices of Maori to English language translation and interpretation. Over the years, Tom has been a leading figure helping to bring the Maori language into the mainstream, and he is one of the founders of Te Wiki o Te Reo Maori movement in the 1970s.",0000-0002-3774-7891,35364908100
Pierre,Roudier,"Roudier, P",Manaaki Whenua - Landcare Research,Soils and Lanscape,Principal Investigator,Principal Investigator,NA,Dry Valleys; Maori Horticulture,2015,"Pierre Roudier is a Scientist in the Soils and Landscapes Team at Manaaki Whenua — Landcare Research in Palmerston North. His research interests include quantitative soil science (pedometrics), Antarctic science, remote sensing, spatial modelling, and applied machine learning. He has a passion for soils (all soils!), one of our most precious and limited resources. He is involved in different working groups within the International Union of Soil Science, and is involved in the GlobalSoilMap initiative.",0000-0001-7431-2603,24391496200
Pete,Russell,"Russell, P",University of Otago,Department of Marine Science,Principal Investigator,Principal Investigator,NA,,2023,"Pete Russell is based in the Department of Marine Science at the University of Otago. Pete’s primary research interests are in physical processes that support marine ecosystems. He integrates a number of research areas, including: Coastal and estuarine processes, Tropical cyclone generated primary production, Putahitanga – Intersection of Matauranga and oceanography, and Sea ice physics. He is also a member of the Coastal People: Southern Skies collaboration that connects communities with world-leading, cross-discipline research to rebuild coastal ecosystems.",NA,55603241700
Rhian,Salmon,"Salmon, R",Victoria University of Wellington,School of Science in Society,Principal Investigator,Principal Investigator,Engagement,Co-production,2015,"Rhian is an Associate Professor in the Centre for Science in Society at Victoria University of Wellington Te Herenga Waka. Before coming to Aotearoa New Zealand, she was based at the British Antarctic Survey in the United Kingdom for several years, working initially as an Antarctic atmospheric chemist (which included spending 18 months ‘overwintering’ on a remote Antarctic base) and later as education, communication and outreach coordinator for the International Polar Year 2007-2008. Rhian has expertise in catalysing conversations between scientists and different publics and currently leads the Engagement Community of Inquiry at Te P?naha Matatini.",0000-0003-4402-551X,56246037800
